centre_id,crop_type,quantity,farmers_ahead,current_queue_length,active_counters,staff_count,staff_availability,average_processing_time,current_processing_speed,time_of_day,day_of_week,seasonal_flag,no_show_rate,queue_growth_rate,equipment_status,operational_delay_flag,actual_wait_minutes,is_synthetic
1,Wheat,7.3,5,7,1,1,0.76,18.8,1.18,8,2,0,0.1,0.72,0,1,106.6,True
8,Paddy,17.3,19,28,4,4,0.78,18.5,1.13,16,5,0,0.14,0.85,1,0,78.3,True
10,Cotton,42.9,28,35,1,1,0.84,15.7,0.85,10,5,1,0.07,0.88,1,0,518.0,True
7,Wheat,7.9,5,8,3,4,0.77,17.3,1.14,17,2,0,0.15,0.43,1,0,21.3,True
6,Maize,25.4,28,38,2,2,0.83,11.0,0.98,12,6,0,0.11,0.86,1,0,155.9,True
8,Maize,23.3,2,7,1,3,0.84,14.1,1.06,14,1,1,0.08,0.31,1,0,27.8,True
4,Cotton,32.9,12,18,4,6,0.99,12.1,1.15,14,2,1,0.15,0.01,1,0,32.0,True
10,Cotton,19.5,16,22,2,2,0.71,18.5,1.15,8,4,0,0.18,1.31,0,1,158.5,True
8,Wheat,59.2,14,19,4,4,0.77,17.2,1.16,15,5,1,0.11,-0.21,1,0,52.5,True
3,Wheat,23.4,15,18,1,3,0.99,18.5,0.94,10,0,1,0.17,0.43,1,0,291.7,True
5,Cotton,41.8,14,24,3,4,0.96,12.7,0.87,12,5,0,0.1,0.64,1,0,67.1,True
5,Maize,52.6,2,11,2,3,0.89,17.2,1.08,15,2,1,0.07,0.94,0,1,46.4,True
3,Wheat,32.3,17,18,1,1,0.91,15.6,1.16,10,4,1,0.16,1.16,1,0,225.3,True
8,Paddy,23.6,18,21,1,3,0.97,14.8,0.99,17,4,0,0.19,0.21,1,0,272.7,True
6,Cotton,25.8,21,24,2,4,0.98,10.0,0.85,12,2,0,0.07,-0.11,0,1,146.1,True
2,Mustard,41.5,11,14,4,5,0.97,17.9,0.88,10,4,1,0.05,1.33,1,0,52.7,True
8,Cotton,26.5,10,12,1,3,0.77,12.7,0.81,11,6,1,0.17,0.57,1,0,153.2,True
4,Paddy,46.9,13,21,4,5,0.92,10.1,0.96,14,2,1,0.15,-0.31,1,0,32.1,True
4,Maize,32.6,2,6,3,4,0.73,13.6,0.8,12,6,0,0.18,0.41,0,1,31.2,True
1,Wheat,49.2,18,25,2,2,0.79,14.5,0.82,15,4,1,0.18,0.78,1,0,161.8,True
1,Maize,58.1,9,17,3,3,0.75,11.8,0.92,9,1,0,0.14,1.45,1,0,37.2,True
9,Wheat,23.9,7,13,4,5,0.83,13.3,0.92,15,1,1,0.19,1.27,1,0,25.4,True
8,Cotton,8.1,29,36,4,4,0.88,15.4,0.83,9,0,0,0.05,0.58,1,0,130.3,True
2,Cotton,27.7,18,25,1,2,0.88,15.9,1.16,10,0,1,0.14,0.3,1,0,243.0,True
1,Mustard,50.6,9,18,4,5,0.82,17.9,1.12,12,0,0,0.08,1.39,1,0,32.1,True
7,Mustard,26.4,16,26,2,4,0.87,18.9,1.06,11,5,1,0.07,0.05,1,0,141.8,True
2,Maize,8.4,17,27,3,5,0.71,11.2,0.82,15,0,1,0.18,0.66,1,0,80.1,True
10,Maize,31.9,11,16,2,2,0.81,19.1,0.89,15,4,1,0.18,0.43,1,0,118.9,True
4,Cotton,19.4,6,7,1,3,0.84,10.8,1.0,16,6,0,0.19,0.0,1,0,70.1,True
5,Paddy,39.5,15,19,2,2,0.77,12.6,1.12,9,2,0,0.11,-0.24,0,1,104.9,True
8,Mustard,14.5,17,20,3,4,0.87,17.4,0.89,16,4,0,0.06,0.58,1,0,110.4,True
7,Mustard,58.9,28,37,2,2,0.73,19.8,0.94,8,4,0,0.12,1.16,1,0,299.9,True
9,Mustard,39.7,24,32,3,4,0.83,12.5,1.1,14,1,1,0.15,1.01,1,0,90.3,True
2,Cotton,50.8,4,4,4,6,0.87,16.8,1.13,8,2,0,0.1,-0.37,1,0,15.8,True
1,Maize,20.5,0,8,2,2,0.96,12.5,1.15,15,4,1,0.06,-0.04,1,0,3.0,True
2,Cotton,58.1,7,11,2,4,0.87,13.8,0.93,14,4,1,0.15,0.33,1,0,56.0,True
5,Maize,57.2,6,11,3,4,0.85,16.1,1.02,16,2,0,0.06,-0.45,1,0,33.3,True
4,Paddy,46.5,10,15,1,3,0.94,13.7,0.88,11,4,1,0.2,-0.06,1,0,155.7,True
7,Paddy,58.2,3,6,3,4,1.0,12.0,1.2,17,1,0,0.14,1.05,1,0,13.7,True
2,Paddy,14.5,9,18,3,4,0.99,15.3,1.07,17,0,0,0.16,0.99,1,0,43.1,True
8,Maize,47.6,5,10,2,2,0.71,19.8,1.14,16,2,0,0.17,0.86,1,0,44.2,True
10,Paddy,41.5,4,6,3,4,0.84,15.3,0.98,12,1,0,0.12,0.53,1,0,20.2,True
3,Paddy,35.8,19,20,1,2,0.86,12.8,0.93,15,2,1,0.16,-0.13,1,0,261.2,True
10,Wheat,46.3,17,21,1,2,0.87,19.7,0.99,12,5,0,0.19,1.31,0,1,364.3,True
9,Mustard,18.3,6,6,2,4,0.85,12.3,0.84,10,0,1,0.1,0.58,1,0,49.7,True
1,Maize,52.6,28,33,4,4,0.73,16.7,1.06,13,4,0,0.16,1.15,0,1,139.4,True
7,Cotton,8.1,28,38,3,4,0.89,11.6,1.11,14,2,1,0.05,0.73,1,0,94.7,True
3,Cotton,8.9,8,17,4,4,0.77,11.9,1.18,11,4,1,0.2,0.69,1,0,17.7,True
2,Mustard,23.6,6,12,3,3,0.99,10.9,1.03,12,2,0,0.12,1.0,1,0,17.8,True
3,Paddy,59.0,19,28,1,2,0.81,13.2,0.98,9,1,0,0.13,0.53,1,0,252.1,True
7,Cotton,49.1,20,27,1,1,0.74,16.3,1.16,8,4,0,0.07,1.38,0,1,308.8,True
6,Maize,55.5,7,10,3,5,0.91,16.3,0.97,10,4,1,0.12,0.99,1,0,39.5,True
10,Cotton,43.7,10,17,4,4,0.93,14.8,0.94,9,5,0,0.12,1.17,1,0,46.9,True
1,Cotton,57.1,14,15,4,6,0.88,19.5,1.14,14,0,1,0.09,1.47,1,0,54.3,True
1,Cotton,22.1,16,25,3,5,0.96,13.9,1.17,13,6,0,0.07,1.08,1,0,59.7,True
7,Cotton,35.1,26,31,1,1,0.86,16.4,1.09,17,2,0,0.15,0.32,1,0,391.1,True
3,Mustard,8.2,26,27,1,3,0.96,12.5,0.93,11,0,1,0.11,1.18,1,0,344.7,True
1,Paddy,13.2,28,30,3,4,0.97,10.0,0.95,16,4,0,0.15,0.78,1,0,94.0,True
9,Cotton,27.0,13,14,2,3,0.81,18.1,0.93,8,5,0,0.09,-0.4,0,1,149.2,True
4,Paddy,11.8,17,27,1,1,0.9,18.7,1.03,13,3,0,0.2,0.84,1,0,309.2,True
9,Paddy,52.0,30,31,2,2,0.72,12.1,1.18,8,4,0,0.1,-0.04,0,1,178.8,True
7,Maize,25.7,6,16,1,3,0.82,16.5,0.98,12,0,0,0.18,0.77,0,1,127.3,True
1,Paddy,47.6,19,29,2,2,0.77,18.2,1.1,11,4,1,0.08,-0.33,0,1,177.4,True
1,Cotton,45.3,27,33,4,4,0.96,15.5,1.08,12,5,0,0.06,-0.28,1,0,94.1,True
1,Maize,28.0,29,34,4,6,0.8,14.4,1.16,14,0,1,0.07,0.82,0,1,112.9,True
9,Maize,42.9,5,10,4,6,0.98,18.1,0.84,12,3,0,0.08,-0.09,1,0,30.2,True
8,Cotton,59.6,19,28,1,1,0.86,11.0,0.88,9,3,0,0.07,-0.2,1,0,233.8,True
3,Paddy,49.5,12,21,1,2,0.9,17.6,0.96,12,3,0,0.2,-0.1,1,0,219.0,True
10,Cotton,19.6,28,37,3,4,0.83,15.3,0.98,15,3,1,0.2,-0.36,0,1,166.4,True
8,Wheat,41.7,20,20,3,5,0.93,12.5,1.12,13,2,0,0.1,0.45,1,0,73.9,True
3,Paddy,12.8,8,16,4,6,0.84,13.1,1.0,13,0,0,0.2,0.04,1,0,28.4,True
9,Cotton,36.2,24,25,4,6,0.83,12.5,1.03,11,3,1,0.18,0.3,1,0,73.4,True
6,Wheat,38.1,1,2,2,4,0.75,17.2,0.91,13,0,0,0.19,-0.45,1,0,9.9,True
3,Cotton,55.1,28,35,2,3,0.79,13.2,0.94,12,6,0,0.1,0.43,1,0,196.3,True
5,Mustard,25.0,24,29,1,1,0.87,19.2,0.84,9,5,0,0.17,0.67,1,0,548.2,True
7,Mustard,46.4,17,19,4,6,0.92,16.9,0.93,13,5,0,0.05,0.05,1,0,74.7,True
10,Maize,21.5,22,31,3,5,0.96,18.3,1.12,12,5,0,0.18,0.69,1,0,117.8,True
2,Wheat,41.9,12,18,1,2,0.77,13.5,0.85,14,4,1,0.13,0.54,1,0,187.7,True
5,Paddy,22.7,10,15,1,1,0.99,10.4,0.83,10,6,1,0.12,0.75,1,0,124.0,True
8,Cotton,5.2,13,16,2,2,0.84,13.5,1.0,11,3,1,0.14,-0.38,1,0,88.8,True
4,Mustard,15.8,4,7,3,4,0.96,15.3,1.09,8,6,0,0.13,0.38,1,0,13.6,True
6,Paddy,48.9,28,35,4,5,0.87,17.3,1.05,11,6,1,0.09,0.78,0,1,144.4,True
4,Wheat,55.4,16,23,4,5,0.86,12.0,0.86,8,6,0,0.1,0.43,0,1,78.5,True
